Label,Sublabel,Title,Description
General Pro,benefits of electric vehicles,Secretary Pete Buttigieg on the future of transportation,"Transportation Secretary Pete Buttigieg has been tasked with leading the effort on President Joe Biden’s massive $2 trillion infrastructure package. Buttigieg, a former mayor and presidential candidate, spoke to The Verge about how the plan “future-proofs” th…"
General Pro,benefits of electric vehicles,Karma Automotive raises $100 million as it looks to resell it EV platform to other automakers,"Karma Automotive has raised a $100 million lifeline from outside investors, as reported by Bloomberg, with the struggling electric vehicle maker’s fortunes likely buoyed by the current market optimism on other EV companies including Tesla. Karma is the reinca…"
General Pro,benefits of electric vehicles,"While eyeing a SPAC, Swedish autonomous EV company Einride nears $75 million in new funding","Swedish autonomous electric vehicle startup Einride is aiming to continue the momentum  sparked by partnerships with Oatly and Lidl,  by seeking additional capital, TechCrunch has learned.  Einride is seeking $75 million in new financing, while at the same ti…"
General Pro,benefits of electric vehicles,"Despite pandemic setbacks, the clean energy future is underway","Since many business operations are struggling to find cash and loans to just remain open, new clean technology may be delayed."
General Pro,benefits of electric vehicles,"EV buyers will get an instant rebate of as much as $7,500 starting in 2024","People buying a new electric vehicle will get an instant rebate of as much as $7,500 starting in 2024, according to new guidance from the Treasury Department."
General Pro,benefits of electric vehicles,How autonomous vehicles and hyperloop are scooting along,Will transportation technologies become the industry disruptors many pundits suggested they would?
General Pro,benefits of electric vehicles,Lilium adds $35M from Baillie Gifford at a $1B+ valuation for its electric aircraft taxi service,"While most air travel continues to be ground to a halt, a German startup working on what it hopes will be a major breakthrough in flying has raised more funds to continue building its service. Lilium, which is designing an all-electric vertical take-off and l…"
General Pro,benefits of electric vehicles,Aurora will power Byton EV’s autonomous driving features,"Aurora, the self-driving startup founded by Google self-driving car project alum Chris Urmson, along with Tesla Autopilot developer Sterling Anderson, CMU robotics expert and Uber vet Drew Bagnell, and a team of industry experts, will be making the autonomous…"
General Pro,benefits of electric vehicles,"For vehicle safety, the future is now",Congress has an opportunity to help build public trust in the safety of driverless technology by requiring existing innovations that will be the building blocks of driverless vehicles.
General Pro,benefits of electric vehicles,Byton suspending operations for six months due to financial trouble,"Chinese EV startup Byton, known for its electric SUV with a giant dashboard-spanning screen, is halting operations for six months after the COVID-19 pandemic has made its dire financial situation even worse. The startup had already furloughed hundreds of work…"
General Pro,benefits of electric vehicles,Sunrun’s $3.2 billion Vivint Solar bid challenges Tesla’s energy ambitions,"Tesla’s 2014 acquisition of SolarCity turned the electric vehicle manufacturer into the undisputed largest player in residential solar, but that lead has steadily eroded as its major competitor, Sunrun, surged ahead with more aggressive plans. Now with the $3…"
General Pro,benefits of electric vehicles,BrightDrop isn’t just selling electric vans — it’s redesigning delivery,"CEO Travis Katz is running a sustainable delivery startup, working to make same-day packages green from within century-old car company General Motors."
General Pro,benefits of electric vehicles,"Revel launches an all-electric, rideshare service with a fleet of 50 Teslas","Revel started out in 2018 with shared, dockless e-mopeds in Brooklyn, which later expanded to  Queens, Manhattan, the Bronx and a handful of other U.S. cities. This year, the company launched a monthly e-bike subscription in New York City and announced plans …"
General Pro,benefits of electric vehicles,"Light is the key to long-range, fully autonomous EVs",Photonic computing technology is on the brink of being commercially available and has the potential to supercharge the current roadmap of autonomous driving while also reducing its carbon footprint.
General Pro,benefits of electric vehicles,"Uber still sees micromobility and AVs in its future, and could push Prop 22 beyond California","Uber made headlines earlier this year when it offloaded Jump, the shared bike and scooter unit that once appeared to be a critical piece of its transportation. Despite that move, Uber still sees micromobility as “really important” to the company, according to…"
General Pro,benefits of electric vehicles,Avrios has quietly raised $14M for an AI-fueled fleet management platform,"Swiss startup Avrios reckons business mobility is going to get a whole lot more interesting as companies adopt more tailored mobility solutions, rather than sticking with the traditional one car per person model. And at the same time as businesses are seeking…"
General Pro,benefits of electric vehicles,Tesla claims it can drive battery costs down even lower with new material science innovations,"Amid a packed afternoon of announcements from Tesla around innovations the company is pursuing to slash the cost of electric vehicle production and energy storage through better battery design, the company said it’s made new advancements in material science f…"
General Pro,benefits of electric vehicles,Uber Incubator launches to develop new products and services,"Uber today announced Uber Incubator, an initiative open to both Uber employees and those outside the Uber organization to develop products and services on top of Uber’s platform. “Our process follows lean startup methodologies,” Uber wrote in a blog post. “We…"
General Pro,benefits of electric vehicles,Only 48 hours left for early-bird tickets to TC Sessions: Mobility 2019,"If you’re wild about anything and everything related to mobility and transportation, you do not want to miss the TC Sessions: Mobility 2019 conference in San Jose, Calif. on July 10. If you’re also wild about saving money, then synchronize your Apple watches …"
General Pro,benefits of electric vehicles,Can Americans pull the plug on petrol-powered cars?,Joe Biden wants half of all cars sold in the US to be zero emission by 2030 - but getting there won't be easy.
General Pro,benefits of electric vehicles,"The Station: Amazon eyes Zoox, Aurora goes back to school and Cabana hits the road","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hi and welcome back to The Station, a newsletter dedicated to all the present and future ways people…"
General Pro,benefits of electric vehicles,Singapore’s micromobility startup Beam raises $26 million,"Beam, a Singapore-headquartered micromobility firm that offers shared e-scooters, has raised $26 million in a new financing round as it looks to expand its footprint in Korea, Australia, Malaysia, New Zealand, and Taiwan. Sequoia India and Hana Ventures led t…"
General Pro,benefits of electric vehicles,Californian and carmakers agree emissions deal despite Trump rules,California and four firms reach a fuel-efficiency deal despite a White House drive to relax rules.
General Pro,benefits of electric vehicles,"The Station: Bird spikes Circ in the Middle East, Kitty Hawk folds Flyer, Cruise attempts a hiring coup","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hi friends and first-time readers. Welcome back to The Station, a newsletter dedicated to all the pr…"
General Pro,benefits of electric vehicles,The Station: The biggest SPAC ever and reading the micromobility permit tea leaves,"The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hi there, new and returning readers. This is The Station, a weekly newsletter dedicated to all the wa…"
General Pro,benefits of electric vehicles,The man behind Tesla’s Powerwall is now pitching an all-in-one power management system for homes,"Arch Rao, the former head of product at Tesla who was behind the company’s Powerwall home energy storage is system, is back with a new company pitching energy management and efficiency for homes. SpanIO is looking to upgrade the electrical fusebox for homes w…"
General Pro,benefits of electric vehicles,Startups and investors are turning to micromobility subscriptions,"Micromobility vendors are keen to follow other industries into the subscription model for a few reasons: ease of scaling, return on investment and cost-per-mile to operate."
General Pro,benefits of electric vehicles,"The Station: AutoX meets a robotaxi milestone, Spin adds a third wheel and Lime embraces mopeds","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox.  Hi friends and new readers, welcome back to The Station, a newsletter dedicated to all the present …"
General Pro,benefits of electric vehicles,Automakers urge greater government investment to meet Biden’s EV sales target,"President Joe Biden is expected to set an ambitious new target for half of all new auto sales in the U.S. to be low- or zero-emission by 2030, a plan that has received tentative support from the Big Three automakers pending what they say will require hefty go…"
General Pro,benefits of electric vehicles,Zoox’s self-driving car will provide a smooth ride via independent active suspension,"Zoox CTO and co-founder Jesse Levinson revealed a few more details about the company’s autonomous vehicle hardware today, which it’s designing along with its software stack from the ground up. Levinson told us on stage that Zoox’s vehicle will have fully inde…"
General Pro,benefits of electric vehicles,Zebra Fuel raises $2.5M to deliver fuel direct to your vehicle,"Zebra Fuel, a London-based startup that wants to eliminate the inner city gas station by delivering fuel directly to your vehicle, has raised $2.5 million in seed funding. The round is led by Robin and Saul Klein’s LocalGlobe, with participation from Brent Ho…"
General Pro,benefits of electric vehicles,"Biden gives states billions of dollars for EV chargers, heat pumps, and other green tech",The Biden-Harris administration announced $4.3 billion in funding for locally led climate and clean projects across the US.
General Pro,benefits of electric vehicles,"The Station: Uber’s new battles in the UK, Lucid Motors’ second life plans and Cruise acquires Voyage","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hi friends and new readers, welcome to The Station, a newsletter dedicated to all the present and fu…"
General Pro,benefits of electric vehicles,"Ford thinks driver assist is a safer bet than driverless cars, but it’s fooling itself",Ford said it would stop funding driverless startup Argo AI in favor of developing Level 2 and Level 3 driver-assist technology in-house. But that might actually be a riskier — and more dangerous — pursuit.
General Pro,benefits of electric vehicles,"The Station: Rivian makes its IPO move, Nuro pushes into Nevada and Waymo scales up in SF","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hello readers: Welcome to The Station, your central hub for all past, present and future means of mov…"
General Pro,benefits of electric vehicles,"The Station: An ADAS business bidding war, the gig worker fight heats up and Biden’s executive order","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hello readers: Welcome to The Station, your central hub for all past, present and future means of mov…"
General Pro,benefits of electric vehicles,The Station: COVID’s effect on car ownership,"The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hello and welcome back to The Station, a newsletter dedicated to all the present and future ways peop…"
General Pro,benefits of electric vehicles,"Transportation weekly: Nuro dreams of autonomous lattes, what is a metamaterial, Volvo takes the wheel","Welcome back to Transportation Weekly; I’m your host Kirsten Korosec, senior transportation reporter at TechCrunch. We love the reader feedback. Keep it coming. Never heard of TechCrunch’s Transportation Weekly? Read the first edition here. As I’ve written be…"
General Pro,benefits of electric vehicles,The 2021 Escalade’s curved screens are a taste of what’s to come,"Cadillac has unveiled the 2021 Escalade, and the most startling new feature is a massive set of three displays clustered around the steering wheel. It’s another sign that automakers big and small are willing to put more and more screens in cars."
General Pro,benefits of electric vehicles,The Station: Lucid Motors spy shot and the birth of an AV startup,"The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hello again — or perhaps for the first time. This is Kirsten Korosec, senior transportation reporter…"
General Pro,benefits of electric vehicles,"The Station: Robotaxi apps on the rise, an AI pioneer’s new startup and mobility event highlights","Hello and welcome back to The Station, a weekly newsletter dedicated to all the ways people and packages move (today and in the future) from Point A to Point B. Welp, the mobility event is over and we had loads of interesting interviews and anyone with an Ext…"
General Pro,benefits of electric vehicles,Emerge raises $20M to take its digital freight marketplace for truckers up a gear,"Trucking is currently the most popular mode of transporting freight in the US, accounting for around $12.5 billion of the $17 billion freight market, according to the Bureau of Transportation Statistics. But with thousands of small and single-vehicle operator…"
General Pro,benefits of electric vehicles,The GPS wars have begun,"Where are you? That’s not just a metaphysical question, but increasingly a geopolitical challenge that is putting tech giants like Apple and Alphabet in a tough position. Countries around the world, including China, Japan, India, and the United Kingdom plus t…"
General Pro,benefits of electric vehicles,"Daily Crunch: At Apple’s WWDC 2021 keynote, everything old is new again","Hello friends and welcome to Daily Crunch, bringing you the most important startup, tech and venture capital news in a single package."
General Pro,benefits of electric vehicles,"The Station: Polestar 2 drive, Tesla splits and a chat with Motional’s Karl Iagnemma","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hello and welcome back to The Station, a newsletter dedicated to all the present and future ways peo…"
General Pro,benefits of electric vehicles,"The Station: A new self-driving car startup, Inside Tesla’s V10 software, Lilium’s big round","If you haven’t heard, TechCrunch has officially launched a weekly newsletter dedicated to all the ways people and goods move from Point A to Point B — today and in the future — whether it’s by bike, bus, scooter, car, train, truck, flying car, robotaxi or roc…"
General Pro,benefits of electric vehicles,Widespread electrification requires us to rethink battery technology,The global transition to electrification has increased demand for longer-lasting and faster-charging batteries. But battery innovation hasn’t kept pace with society’s ambitions.
General Pro,benefits of electric vehicles,Serbia revokes Rio Tinto lithium mine permits following protests,The country cancels the mining licence for the Anglo-Australian firm's controversial $2.4bn project.
General Pro,benefits of electric vehicles,Are scooter startups really worth billions?,"It’s been hard to miss the scooter startup wars opening fresh, techno-fueled rifts in Valley society in recent months. Another flavor of ride-sharing steed which sprouted seemingly overnight to clutter up sidewalks — drawing rapid-fire ire from city regulator…"
General Pro,benefits of electric vehicles,The Station: Via makes a $100M acquisition and a chat with GM about battery tech,"The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox.  Hi friends and new readers, welcome back to The Station, a newsletter dedicated to all the present a…"
General Pro,benefits of electric vehicles,General Motors strike: 'We've got to fight for what's right',"Four weeks into the car giant's strike, workers are losing money but say they will continue to protest."
General Pro,benefits of electric vehicles,A look back at 10 years of CES,"So, here we are on the eve of CES 2020 — the supersized buffet of an annual consumer electronics show in Las Vegas, where we not only get a sneak peek of what to expect from tech companies this year, but also to take the pulse of how people are responding to …"
General Pro,benefits of electric vehicles,"Climate change: Set target to cut car use, minister told","Shifting to electric vehicles will still leave the UK with transport problems, a report says."
General Pro,benefits of electric vehicles,The Brazilians taking a UK mining project to court,Brazil Iron calls itself a sustainable mining company. Local residents call its project a disaster.
General Pro,benefits of electric vehicles,"All the companies from Y Combinator’s W20 Demo Day, Part I: B2B Companies","Y Combinator’s Demo Day was a bit different this time around. As concerns grew over the spread of COVID-19, Y Combinator shifted the event format away from the two-day gathering in San Francisco we’ve gotten used to, instead opting to have its entire class de…"
General Pro,benefits of electric vehicles,LanzaJet launches to make renewable jet fuel a reality,"Over a fifteen year stretch, LanzaTech has developed technologies that can turn carbon emissions into ethanol that can be used for chemicals and fuel. Today, the company announced the spinout of LanzaJet alongside its corporate partners Mitsui, Suncor, and Al…"
General Pro,benefits of electric vehicles,"Extra Crunch roundup: Jam City SPAC, startup PR, telemedicine market map, more","Full disclosure: the second time I worked at a startup founded by Mark Pincus, his dog Zinga slept behind my desk and I was one of her favorite dog-sitters."
General Pro,benefits of electric vehicles,Why car parks are the hottest space in solar,"Car parks are a good place for solar panels, providing shade and electricity where it is needed."
General Pro,benefits of electric vehicles,Subscription-based bike hire schemes on a roll,A growing number of people are choosing to hire a bicycle over a long period of time.
General Pro,benefits of electric vehicles,"Climate change: Road plans will scupper CO2 targets, report says",The majority of emissions cuts from electric cars will be wiped out by new road-building.
General Pro,benefits of electric vehicles,Flex manufactures everything from hair dryers to the Mac Pro — what’s next?,"Flex CEO Revathi Advaithi on the many things Flex manufactures, building during a global chip shortage, and what content moderation looks like for physical products."
General Pro,benefits of electric vehicles,The fall of EV startup Fisker: A comprehensive timeline,"Filed under:
 Government/Legal,Green,Fisker,Electric
 Continue reading The fall of EV startup Fisker: A comprehensive timeline
The fall of EV startup Fisker: A comprehensive timeline originally appeared on Autoblog on Wed, 10 Jul 2024 08:18:00 EDT. Please see…"
General Pro,benefits of electric vehicles,Power Shift,The future of energy could look like New Orleans East
General Pro,benefits of electric vehicles,"Fisker Ocean electric SUV rife with serious problems, internal documents show","Filed under:
 Green,Government/Legal,Fisker,Crossover,SUV,Electric,Luxury
 Continue reading Fisker Ocean electric SUV rife with serious problems, internal documents show
Fisker Ocean electric SUV rife with serious problems, internal documents show originally …"
General Pro,benefits of electric vehicles,"Extra Crunch roundup: Klaviyo EC-1, micromobility’s second wave, UiPath CFO interview, more","Origin stories are satisfying because we already know the hero will overcome the odds — and in doing so, they'll reveal their core strengths."
General Pro,benefits of electric vehicles,Here are the 85+ startups that launched today at Y Combinator’s W19 Demo Day 1,"Y Combinator’s incubator classes have gotten huge. With over 200 companies, the Winter 2019 class is by far YC’s largest yet. Meanwhile, the incubator prepares to shift its headquarters from Mountain View to San Francisco. It’s so large, in fact, it’s had to …"
General Pro,benefits of electric vehicles,"Former SpaceX engineers bring autonomous, electric rail vehicle startup out of stealth","Parallel Systems, a company founded by three former SpaceX engineers to build autonomous battery-electric rail vehicles, came out of stealth mode on..."
Economic Advantage,EVs lower fuel costs,The tough calculus of emissions and the future of EVs,"Mark Mills Contributor Share on Twitter Mark Mills is the author of the forthcoming book, ""The Cloud Revolution: How the Convergence of New Technologies Will Unleash the Next Economic Boom and a Roaring 2020s."" He is a senior fellow at the Manhattan Institute…"
Economic Advantage,EVs lower fuel costs,The annual cost of owning a car has skyrocketed in the last year to over $12K,"Americans are now paying an average of $12,182 to own and operate a brand-new vehicle, or $1,015 per month, according to AAA, rising sharply from 2022’s average of $10,728."
Economic Advantage,EVs lower fuel costs,"Volvo, Daimler, Traton invest $593 million to build electric truck charging network","Volvo Group, Daimler Truck and Volkswagon’s AG heavy-truck business the Traton Group announced on Monday a non-binding agreement to build a network of high-performance public charging stations for electric heavy-duty long-haul trucks and buses around Europe. …"
Economic Advantage,EVs lower fuel costs,"Despite pandemic setbacks, the clean energy future is underway","Since many business operations are struggling to find cash and loans to just remain open, new clean technology may be delayed."
Economic Advantage,EVs lower fuel costs,"The Station: Lime scoots towards profitability, a framework for AVs, and another electric vehicle SPAC","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every Saturday in your inbox. Hi folks, welcome back to The Station, a newsletter dedicated to all the present and future ways peo…"
Economic Advantage,EVs lower fuel costs,"The Station: Lyft sells its self-driving unit, Uber makes a big product push and Revel jumps into ride-hailing","The Station is a weekly newsletter dedicated to all things transportation. Sign up here — just click The Station — to receive it every weekend in your inbox. Hi there, new and returning readers. This is The Station, a weekly newsletter dedicated to all the wa…"
Economic Advantage,EVs lower fuel costs,Are the solutions to fight climate change making progress?,"The world is well off track to limit warming to 1.5C, but there have been some encouraging steps."
Economic Advantage,EVs lower fuel costs,"Uber will rent up to 50,000 Tesla EVs to drivers","It's now clear why Hertz is buying a so many Tesla cars.  The company is making up to 50,000 Tesla EVs available for rent solely to Uber ridesharing drivers ..."
Economic Advantage,EVs lower fuel costs,BrightDrop isn’t just selling electric vans — it’s redesigning delivery,"CEO Travis Katz is running a sustainable delivery startup, working to make same-day packages green from within century-old car company General Motors."
Economic Advantage,EVs lower fuel costs,Power people,Home energy storage could lead to lower bills...eventually.
Economic Advantage,EVs lower fuel costs,The return of neighborhood retail and other surprising real estate trends,"As shocking as it sounds, we could be entering a much better era for small, local businesses."
Economic Advantage,EVs lower fuel costs,"Volvo, Daimler, Traton invest $593 million to build electric truck charging network","Volvo Group, Daimler Truck and Volkswagon's AG heavy-truck business the Traton Group announced on Monday a non-binding agreement to build a network of high..."
Economic Advantage,EVs lower fuel costs,Genflow nabs $11M investment from BGF,"Genflow, a London an0d LA-based brand building agency that offers an e-commerce and mobile tech platform to let influencers start companies, has raised $11..."
Economic Advantage,EVs lower fuel costs,Eight Roads Ventures Europe appoints Lucile Cornet to Partner,"Lucile Cornet has been appointed Partner with Eight Roads Ventures Europe, a firm focusing on startups in Europe and Israel.  Cornet is its first female..."
Economic Advantage,EVs lower fuel costs,Digital securities platform iSTOX closes $50 million Series A to make private equity accessible to more investors,"Two of its new backers are the government-owned Development Bank of Japan and JIC Venture Growth Investments, the venture capital arm of Japan Investment..."
Economic Advantage,EVs lower fuel costs,Apple said to be working a high-priced standalone VR headset as debut mixed reality product,"Apple is reportedly working on developing a high-end virtual reality headset for a potential sales debut in 2022, per a new Bloomberg report.  The headset..."
Economic Advantage,EVs lower fuel costs,"Tesla said to be readying new long-lasting, low-cost batteries to put EVs at price parity with gas cars","Now Reuters is reporting that the automaker plans to unveil new advanced battery technology it has developed that can produce power sources for its EVs which last for ""millions of miles"" and can be produced at low costs -- allowing the automaker to sell cars …"
Economic Advantage,EVs lower fuel costs,The tough calculus of emissions and the future of EVs,Investors and politicians embracing a vision of an all-electric car future believe that path will significantly reduce global carbon dioxide emissions.  A...
